model,tau_up,tau_dn,margin,median_sharpe,geo_equity,avg_trades,total_trades,avg_win_rate
logreg,0.35,0.35,0.0,2.258288262629953,1.6478302186905625,12.58974358974359,491,0.6019066403681789
logreg,0.35,0.35,0.02,2.258288262629953,1.686465279933432,12.58974358974359,491,0.6097961867192637
logreg,0.35,0.35,0.04,2.3448643291340026,1.6945100334138945,12.564102564102564,490,0.6107823800131493
logreg,0.35,0.35,0.06,2.31281016526569,1.6279486384888666,12.564102564102564,490,0.6127547666009205
logreg,0.35,0.35,0.08,2.31281016526569,1.6652777050516985,12.461538461538462,486,0.6142998027613413
logreg,0.35,0.35,0.1,2.252160305987589,1.6327960037683606,12.435897435897436,485,0.6135228019843405
logreg,0.35,0.35,0.12,2.4307533881606895,1.5952446558140467,12.35897435897436,482,0.6170043631582095
logreg,0.35,0.35,0.14,2.3448643291340026,1.57109176004675,12.282051282051283,479,0.6191411152949616
logreg,0.35,0.35,0.16,2.3448643291340026,1.5803216378503584,12.256410256410257,478,0.620539716693563
logreg,0.35,0.35,0.18,2.3448643291340026,1.5803216378503584,12.256410256410257,478,0.620539716693563
logreg,0.35,0.35,0.2,2.3448643291340026,1.58167681919724,12.256410256410257,478,0.6184029645568109
logreg,0.35,0.4,0.0,2.2552242843087713,1.7565236171198102,12.88888888888889,464,0.6101495726495727
logreg,0.35,0.4,0.02,2.2552242843087713,1.7082120947161188,12.88888888888889,464,0.6080128205128206
logreg,0.35,0.4,0.04,2.2552242843087713,1.702933304590172,12.88888888888889,464,0.6080128205128206
logreg,0.35,0.4,0.06,2.2552242843087713,1.7070284235169195,12.88888888888889,464,0.6080128205128206
logreg,0.35,0.4,0.08,2.2552242843087713,1.6508072167488637,12.88888888888889,464,0.6058760683760684
logreg,0.35,0.4,0.1,2.301576295881978,1.6760441340676937,12.88888888888889,464,0.6122863247863249
logreg,0.35,0.4,0.12,2.301576295881978,1.6760441340676937,12.88888888888889,464,0.6122863247863249
logreg,0.35,0.4,0.14,2.301576295881978,1.6771002758400948,12.88888888888889,464,0.6122863247863249
logreg,0.35,0.4,0.16,2.301576295881978,1.6771002758400948,12.88888888888889,464,0.6122863247863249
logreg,0.35,0.4,0.18,2.301576295881978,1.6771002758400948,12.88888888888889,464,0.6122863247863249
logreg,0.35,0.4,0.2,2.301576295881978,1.6771002758400948,12.88888888888889,464,0.6122863247863249
logreg,0.35,0.45,0.0,2.2513024959444943,1.5993662278204288,12.558823529411764,427,0.6043471234647706
logreg,0.35,0.45,0.02,2.2513024959444943,1.5993662278204288,12.558823529411764,427,0.6043471234647706
logreg,0.35,0.45,0.04,2.2513024959444943,1.5993662278204288,12.558823529411764,427,0.6043471234647706
logreg,0.35,0.45,0.06,2.2513024959444943,1.5799600351871788,12.558823529411764,427,0.6020846800258566
logreg,0.35,0.45,0.08,2.2513024959444943,1.5799600351871788,12.558823529411764,427,0.6020846800258566
logreg,0.35,0.45,0.1,2.2513024959444943,1.5678261276535832,12.558823529411764,427,0.6043471234647706
logreg,0.35,0.45,0.12,2.2513024959444943,1.5698217177609926,12.558823529411764,427,0.6043471234647706
logreg,0.35,0.45,0.14,2.2513024959444943,1.5699272811666245,12.558823529411764,427,0.6043471234647706
logreg,0.35,0.45,0.16,2.2513024959444943,1.5692972772899847,12.558823529411764,427,0.6020846800258566
logreg,0.35,0.45,0.18,2.2513024959444943,1.5692972772899847,12.558823529411764,427,0.6020846800258566
logreg,0.35,0.45,0.2,2.2513024959444943,1.5692972772899847,12.558823529411764,427,0.6020846800258566
logreg,0.35,0.5,0.0,1.936497662940251,1.3840475190222477,12.333333333333334,407,0.6000711409802317
logreg,0.35,0.5,0.02,1.936497662940251,1.3840475190222477,12.333333333333334,407,0.6000711409802317
logreg,0.35,0.5,0.04,1.936497662940251,1.3840475190222477,12.333333333333334,407,0.6000711409802317
