,hash_rate,mining_difficulty,transaction_count_24h,active_addresses_7d_avg,average_transaction_fee
2020-11-06 00:00:00,127682332.78656289,16787779609933.0,340351.0,,4.319298
2020-11-06 04:00:00,127682332.78656289,16787779609933.0,340351.0,,4.319298
2020-11-06 08:00:00,127682332.78656289,16787779609933.0,340351.0,,4.319298
2020-11-06 12:00:00,127682332.78656289,16787779609933.0,340351.0,,4.319298
2020-11-06 16:00:00,127682332.78656289,16787779609933.0,340351.0,,4.319298
2020-11-06 20:00:00,127682332.78656289,16787779609933.0,340351.0,,4.319298
2020-11-07 00:00:00,121840657.43031493,16787779609933.0,270901.0,,4.458198
2020-11-07 04:00:00,121840657.43031493,16787779609933.0,270901.0,,4.458198
2020-11-07 08:00:00,121840657.43031493,16787779609933.0,270901.0,,4.458198
2020-11-07 12:00:00,121840657.43031493,16787779609933.0,270901.0,,4.458198
2020-11-07 16:00:00,121840657.43031493,16787779609933.0,270901.0,,4.458198
2020-11-07 20:00:00,121840657.43031493,16787779609933.0,270901.0,,4.458198
2020-11-08 00:00:00,115164457.02317438,16787779609933.0,243047.0,,4.513906
2020-11-08 04:00:00,115164457.02317438,16787779609933.0,243047.0,,4.513906
2020-11-08 08:00:00,115164457.02317438,16787779609933.0,243047.0,,4.513906
2020-11-08 12:00:00,115164457.02317438,16787779609933.0,243047.0,,4.513906
2020-11-08 16:00:00,115164457.02317438,16787779609933.0,243047.0,,4.513906
2020-11-08 20:00:00,115164457.02317438,16787779609933.0,243047.0,,4.513906
2020-11-09 00:00:00,154387134.41512507,16787779609933.0,326383.0,,4.347234
2020-11-09 04:00:00,154387134.41512507,16787779609933.0,326383.0,,4.347234
2020-11-09 08:00:00,154387134.41512507,16787779609933.0,326383.0,,4.347234
2020-11-09 12:00:00,154387134.41512507,16787779609933.0,326383.0,,4.347234
2020-11-09 16:00:00,154387134.41512507,16787779609933.0,326383.0,,4.347234
2020-11-09 20:00:00,154387134.41512507,16787779609933.0,326383.0,,4.347234
