fold_id,segment,start_idx,end_idx,start_time,end_time,length
0,train,0,2189,2020-11-06,2021-11-05 20:00:00,2190
0,val,2190,2729,2021-11-06,2022-02-03 20:00:00,540
1,train,180,2369,2020-12-06,2021-12-05 20:00:00,2190
1,val,2370,2909,2021-12-06,2022-03-05 20:00:00,540
2,train,360,2549,2021-01-05,2022-01-04 20:00:00,2190
2,val,2550,3089,2022-01-05,2022-04-04 20:00:00,540
3,train,540,2729,2021-02-04,2022-02-03 20:00:00,2190
3,val,2730,3269,2022-02-04,2022-05-04 20:00:00,540
4,train,720,2909,2021-03-06,2022-03-05 20:00:00,2190
4,val,2910,3449,2022-03-06,2022-06-03 20:00:00,540
5,train,900,3089,2021-04-05,2022-04-04 20:00:00,2190
5,val,3090,3629,2022-04-05,2022-07-03 20:00:00,540
6,train,1080,3269,2021-05-05,2022-05-04 20:00:00,2190
6,val,3270,3809,2022-05-05,2022-08-02 20:00:00,540
7,train,1260,3449,2021-06-04,2022-06-03 20:00:00,2190
7,val,3450,3989,2022-06-04,2022-09-01 20:00:00,540
8,train,1440,3629,2021-07-04,2022-07-03 20:00:00,2190
8,val,3630,4169,2022-07-04,2022-10-01 20:00:00,540
9,train,1620,3809,2021-08-03,2022-08-02 20:00:00,2190
9,val,3810,4349,2022-08-03,2022-10-31 20:00:00,540
10,train,1800,3989,2021-09-02,2022-09-01 20:00:00,2190
10,val,3990,4529,2022-09-02,2022-11-30 20:00:00,540
11,train,1980,4169,2021-10-02,2022-10-01 20:00:00,2190
11,val,4170,4709,2022-10-02,2022-12-30 20:00:00,540
12,train,2160,4349,2021-11-01,2022-10-31 20:00:00,2190
12,val,4350,4889,2022-11-01,2023-01-29 20:00:00,540
13,train,2340,4529,2021-12-01,2022-11-30 20:00:00,2190
13,val,4530,5069,2022-12-01,2023-02-28 20:00:00,540
14,train,2520,4709,2021-12-31,2022-12-30 20:00:00,2190
14,val,4710,5249,2022-12-31,2023-03-30 20:00:00,540
15,train,2700,4889,2022-01-30,2023-01-29 20:00:00,2190
15,val,4890,5429,2023-01-30,2023-04-29 20:00:00,540
16,train,2880,5069,2022-03-01,2023-02-28 20:00:00,2190
16,val,5070,5609,2023-03-01,2023-05-29 20:00:00,540
17,train,3060,5249,2022-03-31,2023-03-30 20:00:00,2190
17,val,5250,5789,2023-03-31,2023-06-28 20:00:00,540
18,train,3240,5429,2022-04-30,2023-04-29 20:00:00,2190
18,val,5430,5969,2023-04-30,2023-07-28 20:00:00,540
19,train,3420,5609,2022-05-30,2023-05-29 20:00:00,2190
19,val,5610,6149,2023-05-30,2023-08-27 20:00:00,540
20,train,3600,5789,2022-06-29,2023-06-28 20:00:00,2190
20,val,5790,6329,2023-06-29,2023-09-26 20:00:00,540
21,train,3780,5969,2022-07-29,2023-07-28 20:00:00,2190
21,val,5970,6509,2023-07-29,2023-10-26 20:00:00,540
22,train,3960,6149,2022-08-28,2023-08-27 20:00:00,2190
22,val,6150,6689,2023-08-28,2023-11-25 20:00:00,540
23,train,4140,6329,2022-09-27,2023-09-26 20:00:00,2190
23,val,6330,6869,2023-09-27,2023-12-25 20:00:00,540
24,train,4320,6509,2022-10-27,2023-10-26 20:00:00,2190
24,val,6510,7049,2023-10-27,2024-01-24 20:00:00,540
25,train,4500,6689,2022-11-26,2023-11-25 20:00:00,2190
25,val,6690,7229,2023-11-26,2024-02-23 20:00:00,540
26,train,4680,6869,2022-12-26,2023-12-25 20:00:00,2190
26,val,6870,7409,2023-12-26,2024-03-24 20:00:00,540
27,train,4860,7049,2023-01-25,2024-01-24 20:00:00,2190
27,val,7050,7589,2024-01-25,2024-04-23 20:00:00,540
28,train,5040,7229,2023-02-24,2024-02-23 20:00:00,2190
28,val,7230,7769,2024-02-24,2024-05-23 20:00:00,540
29,train,5220,7409,2023-03-26,2024-03-24 20:00:00,2190
29,val,7410,7949,2024-03-25,2024-06-22 20:00:00,540
30,train,5400,7589,2023-04-25,2024-04-23 20:00:00,2190
30,val,7590,8129,2024-04-24,2024-07-22 20:00:00,540
31,train,5580,7769,2023-05-25,2024-05-23 20:00:00,2190
31,val,7770,8309,2024-05-24,2024-08-21 20:00:00,540
32,train,5760,7949,2023-06-24,2024-06-22 20:00:00,2190
32,val,7950,8489,2024-06-23,2024-09-20 20:00:00,540
33,train,5940,8129,2023-07-24,2024-07-22 20:00:00,2190
33,val,8130,8669,2024-07-23,2024-10-20 20:00:00,540
34,train,6120,8309,2023-08-23,2024-08-21 20:00:00,2190
34,val,8310,8849,2024-08-22,2024-11-19 20:00:00,540
35,train,6300,8489,2023-09-22,2024-09-20 20:00:00,2190
35,val,8490,9029,2024-09-21,2024-12-19 20:00:00,540
36,train,6480,8669,2023-10-22,2024-10-20 20:00:00,2190
36,val,8670,9209,2024-10-21,2025-01-18 20:00:00,540
37,train,6660,8849,2023-11-21,2024-11-19 20:00:00,2190
37,val,8850,9389,2024-11-20,2025-02-17 20:00:00,540
38,train,6840,9029,2023-12-21,2024-12-19 20:00:00,2190
38,val,9030,9569,2024-12-20,2025-03-19 20:00:00,540
39,train,7020,9209,2024-01-20,2025-01-18 20:00:00,2190
39,val,9210,9749,2025-01-19,2025-04-18 20:00:00,540
40,train,7200,9389,2024-02-19,2025-02-17 20:00:00,2190
40,val,9390,9929,2025-02-18,2025-05-18 20:00:00,540
41,train,7380,9569,2024-03-20,2025-03-19 20:00:00,2190
41,val,9570,10109,2025-03-20,2025-06-17 20:00:00,540
42,train,7560,9749,2024-04-19,2025-04-18 20:00:00,2190
42,val,9750,10289,2025-04-19,2025-07-17 20:00:00,540
