fold_id,task,brier_R2
ALL,UP,0.07687493245677901
0,UP,0.09275819900069249
1,UP,0.05364411111498657
2,UP,0.015374448937164997
3,UP,0.0589089683622529
4,UP,0.019659719007384502
5,UP,0.028045758224181316
6,UP,0.027732569041203914
7,UP,0.014909222252287413
8,UP,0.023127409761605766
9,UP,0.005333139876670834
10,UP,0.007519325070598382
11,UP,0.0009750603718805539
12,UP,0.007209346231525582
13,UP,0.05365553634249265
14,UP,0.0881620956707393
15,UP,0.03032614368613218
16,UP,0.017877899639207828
17,UP,0.0012541119826134928
18,UP,-0.00013123758320876533
19,UP,0.04559835634116294
20,UP,0.08099576168246247
21,UP,0.0052420379384015
22,UP,0.0002383167713621015
23,UP,0.007583813127204686
24,UP,0.0005424178390684986
25,UP,0.009835381411203659
26,UP,0.001064957295448865
27,UP,0.0004359195645073921
28,UP,0.015590513751789548
29,UP,0.07570778927844923
30,UP,0.02334421680943144
31,UP,0.03444337875732073
32,UP,0.03421736208189963
33,UP,0.008259380272190753
34,UP,0.013665712395432905
35,UP,0.02144497563483716
36,UP,0.0062913270053576165
37,UP,0.00017424275953970003
38,UP,0.00457197550924715
39,UP,0.008147965981701644
40,UP,0.002188934389889874
41,UP,0.0045136238205253365
42,UP,0.005246838570274415
ALL,DN,0.08518992009310533
0,DN,0.13590156096971018
1,DN,0.10122298774963534
2,DN,0.02182470871424569
3,DN,0.0105470814641212
4,DN,0.03773863436393643
5,DN,0.031173787035356892
6,DN,0.0006137977199835998
7,DN,0.005936887859150475
8,DN,-6.495863904998345e-06
9,DN,0.01706141168345332
10,DN,0.0022421757592925307
11,DN,0.0248074078694549
12,DN,0.0046312652305177116
13,DN,0.11657232002819384
14,DN,0.053971122379245284
15,DN,0.022360028932339016
16,DN,0.002506665811336073
17,DN,0.0049396657942124556
18,DN,0.015177192376415016
19,DN,0.02081710782376156
20,DN,0.08029917409018106
21,DN,0.04867968091729735
22,DN,0.001994320158311247
23,DN,0.04918362742323901
24,DN,0.05737509073065716
25,DN,0.0019429546794895725
26,DN,0.00967229668125591
27,DN,0.0006248265204272796
28,DN,0.009381367834976229
29,DN,0.014506222935630086
30,DN,0.0292996766025021
31,DN,0.009747871632642235
32,DN,8.411890102333341e-05
33,DN,0.00870912472212193
34,DN,0.013414583926403267
35,DN,0.01463355544994216
36,DN,0.05759339745755321
37,DN,0.012459064241917894
38,DN,0.11768684457888334
39,DN,0.026883912989253633
40,DN,0.02771610723418183
41,DN,0.0006793424391556835
42,DN,0.01258951215206705
