Year-Month,Strategy Return,Benchmark Return,Excess Return
2022-01,-16.93%,-17.83%,0.90%
2022-02,20.67%,12.20%,8.47%
2022-03,5.45%,5.45%,0.00%
2022-04,-14.42%,-17.31%,2.89%
2022-05,-13.42%,-15.49%,2.07%
2022-06,-46.31%,-37.29%,-9.02%
2022-07,15.54%,16.80%,-1.26%
2022-08,-12.33%,-13.92%,1.59%
2022-09,-1.10%,-3.13%,2.03%
2022-10,7.42%,5.50%,1.92%
2022-11,-12.50%,-16.24%,3.74%
2022-12,-4.04%,-3.62%,-0.42%
2023-01,38.56%,39.79%,-1.23%
2023-02,2.90%,0.07%,2.83%
2023-03,31.26%,23.01%,8.25%
2023-04,3.80%,2.70%,1.11%
2023-05,-7.82%,-6.92%,-0.90%
2023-06,12.16%,11.99%,0.17%
2023-07,-3.69%,-4.07%,0.38%
2023-08,-14.76%,-11.26%,-3.50%
2023-09,2.74%,3.94%,-1.20%
2023-10,28.38%,28.47%,-0.10%
2023-11,7.36%,8.90%,-1.55%
2023-12,6.87%,12.09%,-5.22%
2024-01,-4.94%,0.70%,-5.64%
2024-02,14.48%,43.57%,-29.09%
2024-03,13.05%,16.60%,-3.56%
2024-04,9.01%,-14.88%,23.89%
2024-05,3.91%,11.32%,-7.41%
2024-06,-0.59%,-7.06%,6.47%
2024-07,2.45%,2.96%,-0.51%
2024-08,29.06%,-8.75%,37.81%
2024-09,8.99%,7.38%,1.60%
2024-10,-0.02%,11.00%,-11.01%
2024-11,-7.62%,37.15%,-44.77%
2024-12,8.17%,-3.75%,11.92%
